code,loops,maxDepth,recursion,label
"public int abs(int x) {
  return x < 0 ? -x : x;
}",0,0,False,Efficient
"public int[] copyArray(int[] arr) {
  int[] copy = new int[arr.length];
  for (int i = 0; i < arr.length; i++)
    copy[i] = arr[i];
  return copy;
}",1,1,False,Efficient
"public String reverseString(String s) {
  StringBuilder sb = new StringBuilder();
  for (int i = s.length()-1; i >= 0; i--)
    sb.append(s.charAt(i));
  return sb.toString();
}",1,1,False,Efficient
"public int longestCommonSubsequence(String a, String b) {
  int m = a.length(), n = b.length();
  int[][] dp = new int[m+1][n+1];
  for (int i = 1; i <= m; i++)
    for (int j = 1; j <= n; j++)
      dp[i][j] = a.charAt(i-1) == b.charAt(j-1)
        ? dp[i-1][j-1]+1 : Math.max(dp[i-1][j], dp[i][j-1]);
  return dp[m][n];
}",2,2,False,Moderate
"public int knapsack(int[] w, int[] v, int cap, int n) {
  if (n == 0 || cap == 0) return 0;
  if (w[n-1] > cap) return knapsack(w, v, cap, n-1);
  return Math.max(v[n-1] + knapsack(w, v, cap-w[n-1], n-1),
                  knapsack(w, v, cap, n-1));
}",0,0,True,Inefficient
"public int[] buildFrequencyMap(int[] arr, int max) {
  int[] freq = new int[max+1];
  for (int x : arr) freq[x]++;
  return freq;
}",1,1,False,Efficient
"public void swap(int[] arr, int i, int j) {
  int tmp = arr[i];
  arr[i] = arr[j];
  arr[j] = tmp;
}",0,0,False,Efficient
"public int sumOfSquares(int n) {
  int sum = 0;
  for (int i = 1; i <= n; i++)
    sum += i * i;
  return sum;
}",1,1,False,Efficient
"public boolean isAnagram(String a, String b) {
  int[] freq = new int[26];
  for (char c : a.toCharArray()) freq[c-'a']++;
  for (char c : b.toCharArray()) freq[c-'a']--;
  for (int x : freq) if (x != 0) return false;
  return true;
}",3,1,False,Efficient
"public int quickSelectKth(int[] arr, int lo, int hi, int k) {
  if (lo == hi) return arr[lo];
  int pivot = partition(arr, lo, hi);
  if (k == pivot) return arr[k];
  else if (k < pivot) return quickSelectKth(arr, lo, pivot-1, k);
  else return quickSelectKth(arr, pivot+1, hi, k);
}",0,0,True,Efficient
"public boolean containsValue(Map<String,Integer> map, int val) {
  for (int v : map.values())
    if (v == val) return true;
  return false;
}",1,1,False,Moderate
"public int trapRainWater(int[] h) {
  int l = 0, r = h.length-1, lMax = 0, rMax = 0, water = 0;
  while (l < r) {
    if (h[l] < h[r]) { lMax = Math.max(lMax, h[l]); water += lMax - h[l++]; }
    else { rMax = Math.max(rMax, h[r]); water += rMax - h[r--]; }
  }
  return water;
}",1,1,False,Efficient
"public void countingSort(int[] arr, int max) {
  int[] count = new int[max+1];
  for (int x : arr) count[x]++;
  int idx = 0;
  for (int i = 0; i <= max; i++)
    while (count[i]-- > 0)
      arr[idx++] = i;
}",3,2,False,Moderate
"public int maxSubarraySum(int[] arr) {
  int maxSum = arr[0], cur = arr[0];
  for (int i = 1; i < arr.length; i++) {
    cur = Math.max(arr[i], cur + arr[i]);
    maxSum = Math.max(maxSum, cur);
  }
  return maxSum;
}",1,1,False,Efficient
"public int naiveStringSearch(String text, String pattern) {
  for (int i = 0; i <= text.length() - pattern.length(); i++) {
    int j;
    for (j = 0; j < pattern.length(); j++)
      if (text.charAt(i+j) != pattern.charAt(j)) break;
    if (j == pattern.length()) return i;
  }
  return -1;
}",2,2,False,Moderate
"public int[] twoPointerSortedPair(int[] arr, int target) {
  int l = 0, r = arr.length - 1;
  while (l < r) {
    int s = arr[l] + arr[r];
    if (s == target) return new int[]{l, r};
    else if (s < target) l++;
    else r--;
  }
  return new int[]{};
}",1,1,False,Efficient
"public int generateSubsets(int n) {
  int count = 0;
  for (int mask = 0; mask < (1 << n); mask++) {
    for (int i = 0; i < n; i++)
      if ((mask & (1 << i)) != 0) count++;
  }
  return count;
}",2,2,False,Inefficient
"public int log2Floor(int n) {
  int result = 0;
  while (n > 1) {
    n >>= 1;
    result++;
  }
  return result;
}",1,1,False,Efficient
"public int coinChangeDP(int[] coins, int amount) {
  int[] dp = new int[amount+1];
  Arrays.fill(dp, amount+1);
  dp[0] = 0;
  for (int i = 1; i <= amount; i++)
    for (int c : coins)
      if (c <= i) dp[i] = Math.min(dp[i], dp[i-c]+1);
  return dp[amount] > amount ? -1 : dp[amount];
}",2,2,False,Moderate
"public int[] mergeSortedArrays(int[] a, int[] b) {
  int[] res = new int[a.length + b.length];
  int i = 0, j = 0, k = 0;
  while (i < a.length && j < b.length)
    res[k++] = a[i] <= b[j] ? a[i++] : b[j++];
  while (i < a.length) res[k++] = a[i++];
  while (j < b.length) res[k++] = b[j++];
  return res;
}",3,1,False,Efficient
"public int floodFill(int[][] grid, int r, int c, int color) {
  if (r<0||c<0||r>=grid.length||c>=grid[0].length||grid[r][c]!=1) return 0;
  grid[r][c] = color;
  floodFill(grid, r+1, c, color);
  floodFill(grid, r-1, c, color);
  floodFill(grid, r, c+1, color);
  floodFill(grid, r, c-1, color);
  return 1;
}",0,0,True,Moderate
"public boolean isEven(int n) {
  return (n & 1) == 0;
}",0,0,False,Efficient
"public int jumpSearch(int[] arr, int target) {
  int n = arr.length, step = (int)Math.sqrt(n), prev = 0;
  while (arr[Math.min(step, n)-1] < target) {
    prev = step; step += (int)Math.sqrt(n);
    if (prev >= n) return -1;
  }
  for (int i = prev; i < Math.min(step, n); i++)
    if (arr[i] == target) return i;
  return -1;
}",2,1,False,Efficient
"public int interpolationSearch(int[] arr, int target) {
  int lo = 0, hi = arr.length-1;
  while (lo <= hi && target >= arr[lo] && target <= arr[hi]) {
    int pos = lo + ((target-arr[lo])*(hi-lo))/(arr[hi]-arr[lo]);
    if (arr[pos] == target) return pos;
    if (arr[pos] < target) lo = pos+1;
    else hi = pos-1;
  }
  return -1;
}",1,1,False,Efficient
"public int naiveSubstringCount(String text, String pat) {
  int count = 0;
  for (int i = 0; i <= text.length()-pat.length(); i++)
    for (int j = 0; j < pat.length(); j++)
      if (text.charAt(i+j) != pat.charAt(j)) { count--; break; }
    else if (j==pat.length()-1) count++;
  return count;
}",2,2,False,Moderate
"public int minDistance(int[] arr, int n) {
  int minDist = Integer.MAX_VALUE;
  for (int i = 0; i < arr.length; i++)
    for (int j = i+1; j < arr.length; j++)
      if (arr[j] - arr[i] < minDist) minDist = arr[j]-arr[i];
  return minDist;
}",2,2,False,Inefficient
"public void printMatrix(int[][] mat) {
  for (int[] row : mat) {
    for (int val : row)
      System.out.print(val + "" "");
    System.out.println();
  }
}",2,2,False,Moderate
"public int longestPalindromeSubstring(String s) {
  int n = s.length(), maxLen = 0;
  for (int i = 0; i < n; i++)
    for (int j = i; j < n; j++) {
      String sub = s.substring(i, j+1);
      String rev = new StringBuilder(sub).reverse().toString();
      if (sub.equals(rev) && sub.length() > maxLen) maxLen = sub.length();
    }
  return maxLen;
}",2,2,False,Inefficient
"public int minElement(int[] arr) {
  int min = arr[0];
  for (int x : arr) if (x < min) min = x;
  return min;
}",1,1,False,Efficient
"public int editDistance(String a, String b) {
  int m = a.length(), n = b.length();
  int[][] dp = new int[m+1][n+1];
  for (int i=0; i<=m; i++) dp[i][0]=i;
  for (int j=0; j<=n; j++) dp[0][j]=j;
  for (int i=1; i<=m; i++)
    for (int j=1; j<=n; j++)
      dp[i][j] = a.charAt(i-1)==b.charAt(j-1) ? dp[i-1][j-1]
        : 1+Math.min(dp[i-1][j-1], Math.min(dp[i-1][j], dp[i][j-1]));
  return dp[m][n];
}",2,2,False,Moderate
"public boolean isPowerOfTwo(int n) {
  return n > 0 && (n & (n - 1)) == 0;
}",0,0,False,Efficient
"public int sumRecursive(int[] arr, int n) {
  if (n <= 0) return 0;
  return arr[n-1] + sumRecursive(arr, n-1);
}",0,0,True,Moderate
"public int[] kadane(int[] arr) {
  int maxSum = arr[0], cur = arr[0], start = 0, end = 0, tempStart = 0;
  for (int i = 1; i < arr.length; i++) {
    if (arr[i] > cur + arr[i]) { cur = arr[i]; tempStart = i; }
    else cur += arr[i];
    if (cur > maxSum) { maxSum = cur; start = tempStart; end = i; }
  }
  return new int[]{start, end, maxSum};
}",1,1,False,Efficient
"public int countPrimes(int n) {
  boolean[] sieve = new boolean[n];
  Arrays.fill(sieve, true);
  for (int i = 2; (long)i*i < n; i++)
    if (sieve[i])
      for (int j = i*i; j < n; j += i)
        sieve[j] = false;
  int count = 0;
  for (int i = 2; i < n; i++) if (sieve[i]) count++;
  return count;
}",3,2,False,Moderate
"public int maxProfit(int[] prices) {
  int minPrice = Integer.MAX_VALUE, maxProfit = 0;
  for (int p : prices) {
    if (p < minPrice) minPrice = p;
    else if (p - minPrice > maxProfit) maxProfit = p - minPrice;
  }
  return maxProfit;
}",1,1,False,Efficient
"public boolean isBalanced(String s) {
  Deque stack = new ArrayDeque<>();
  for (char c : s.toCharArray()) {
    if (c=='(') stack.push(c);
    else if (c==')') { if (stack.isEmpty()) return false; stack.pop(); }
  }
  return stack.isEmpty();
}",1,1,False,Efficient
"public int[] twoSumBruteForce(int[] nums, int target) {
  for (int i = 0; i < nums.length; i++)
    for (int j = i+1; j < nums.length; j++)
      if (nums[i] + nums[j] == target) return new int[]{i, j};
  return new int[]{};
}",2,2,False,Inefficient
"public int missingNumber(int[] arr, int n) {
  int expected = n * (n+1) / 2;
  int actual = 0;
  for (int x : arr) actual += x;
  return expected - actual;
}",1,1,False,Efficient
"public int climbStairs(int n) {
  if (n <= 1) return 1;
  int a = 1, b = 1;
  for (int i = 2; i <= n; i++) {
    int c = a + b;
    a = b;
    b = c;
  }
  return b;
}",1,1,False,Efficient
"public int climbStairsRecursive(int n) {
  if (n <= 1) return 1;
  return climbStairsRecursive(n-1) + climbStairsRecursive(n-2);
}",0,0,True,Inefficient
"public int[] slidingWindowMax(int[] arr, int k) {
  int n = arr.length;
  int[] result = new int[n-k+1];
  Deque dq = new ArrayDeque<>();
  for (int i = 0; i < n; i++) {
    if (!dq.isEmpty() && dq.peek() < i-k+1) dq.poll();
    while (!dq.isEmpty() && arr[dq.peekLast()] < arr[i]) dq.pollLast();
    dq.offer(i);
    if (i >= k-1) result[i-k+1] = arr[dq.peek()];
  }
  return result;
}",1,1,False,Efficient
"public boolean canReach(int[] arr, int start) {
  if (start < 0 || start >= arr.length || arr[start] < 0) return false;
  if (arr[start] == 0) return true;
  arr[start] = -arr[start];
  return canReach(arr, start + arr[start]) || canReach(arr, start - arr[start]);
}",0,0,True,Moderate
"public void shellSort(int[] arr) {
  int n = arr.length;
  for (int gap = n/2; gap > 0; gap /= 2)
    for (int i = gap; i < n; i++) {
      int tmp = arr[i], j = i;
      while (j >= gap && arr[j-gap] > tmp) { arr[j] = arr[j-gap]; j -= gap; }
      arr[j] = tmp;
    }
}",3,2,False,Moderate
"public int totalSumTriple(int[] arr) {
  int n = arr.length, sum = 0;
  for (int i = 0; i < n; i++)
    for (int j = 0; j < n; j++)
      for (int k = 0; k < n; k++)
        sum += arr[i] * arr[j] * arr[k];
  return sum;
}",3,3,False,Inefficient
"public int lcm(int a, int b) {
  return a / gcd(a, b) * b;
}
public int gcd(int a, int b) {
  return b == 0 ? a : gcd(b, a % b);
}",0,0,True,Efficient
"public int[] dutchFlag(int[] arr) {
  int lo = 0, mid = 0, hi = arr.length - 1;
  while (mid <= hi) {
    if (arr[mid] == 0) swap(arr, lo++, mid++);
    else if (arr[mid] == 1) mid++;
    else swap(arr, mid, hi--);
  }
  return arr;
}",1,1,False,Efficient
"public int sieveCount(int n) {
  boolean[] prime = new boolean[n+1];
  Arrays.fill(prime, true);
  prime[0] = prime[1] = false;
  for (int i = 2; i * i <= n; i++)
    if (prime[i])
      for (int j = i*i; j <= n; j += i)
        prime[j] = false;
  int count = 0;
  for (boolean b : prime) if (b) count++;
  return count;
}",3,2,False,Moderate
"public int[] bucketSort(double[] arr) {
  int n = arr.length;
  List[] buckets = new List[n];
  for (int i = 0; i < n; i++) buckets[i] = new ArrayList<>();
  for (double x : arr) buckets[(int)(n*x)].add(x);
  for (List b : buckets) Collections.sort(b);
  return new int[]{n};
}",3,1,False,Moderate
"public int countWaysRecursive(int n) {
  if (n == 0) return 1;
  if (n < 0) return 0;
  return countWaysRecursive(n-1) + countWaysRecursive(n-2) + countWaysRecursive(n-3);
}",0,0,True,Inefficient
"public int countWaysDP(int n) {
  int[] dp = new int[n+1];
  dp[0] = 1;
  for (int i = 1; i <= n; i++) {
    if (i >= 1) dp[i] += dp[i-1];
    if (i >= 2) dp[i] += dp[i-2];
    if (i >= 3) dp[i] += dp[i-3];
  }
  return dp[n];
}",1,1,False,Efficient
"public int[] rotateArray(int[] arr, int k) {
  k %= arr.length;
  reverse(arr, 0, arr.length-1);
  reverse(arr, 0, k-1);
  reverse(arr, k, arr.length-1);
  return arr;
}",0,0,False,Efficient
"public int maxPathSumRecursive(TreeNode root) {
  if (root == null) return 0;
  int left = Math.max(0, maxPathSumRecursive(root.left));
  int right = Math.max(0, maxPathSumRecursive(root.right));
  globalMax = Math.max(globalMax, root.val + left + right);
  return root.val + Math.max(left, right);
}",0,0,True,Efficient
"public int permutationCount(int n) {
  if (n == 0) return 1;
  return n * permutationCount(n - 1);
}",0,0,True,Efficient
"public List<List> subsets(int[] nums) {
  List<List> res = new ArrayList<>();
  subsetsHelper(nums, 0, new ArrayList<>(), res);
  return res;
}
public void subsetsHelper(int[] nums, int idx, List cur, List<List> res) {
  res.add(new ArrayList<>(cur));
  for (int i = idx; i < nums.length; i++) {
    cur.add(nums[i]);
    subsetsHelper(nums, i+1, cur, res);
    cur.remove(cur.size()-1);
  }
}",1,1,True,Moderate
"public int[] longestIncreasingSubsequence(int[] arr) {
  int n = arr.length;
  int[] dp = new int[n];
  Arrays.fill(dp, 1);
  for (int i = 1; i < n; i++)
    for (int j = 0; j < i; j++)
      if (arr[j] < arr[i]) dp[i] = Math.max(dp[i], dp[j]+1);
  return dp;
}",2,2,False,Moderate
"public int uniquePaths(int m, int n) {
  int[][] dp = new int[m][n];
  for (int[] row : dp) Arrays.fill(row, 1);
  for (int i = 1; i < m; i++)
    for (int j = 1; j < n; j++)
      dp[i][j] = dp[i-1][j] + dp[i][j-1];
  return dp[m-1][n-1];
}",3,2,False,Moderate
"public boolean bipartiteCheck(int[][] adj, int n) {
  int[] color = new int[n];
  Arrays.fill(color, -1);
  for (int i = 0; i < n; i++)
    if (color[i] == -1 && !bfsBipartite(adj, i, color)) return false;
  return true;
}",1,1,False,Moderate
"public int robHouse(int[] nums) {
  if (nums.length == 0) return 0;
  int prev2 = 0, prev1 = 0;
  for (int num : nums) {
    int cur = Math.max(prev1, prev2 + num);
    prev2 = prev1;
    prev1 = cur;
  }
  return prev1;
}",1,1,False,Efficient
"public void permutations(int[] arr, int l) {
  if (l == arr.length - 1) { System.out.println(Arrays.toString(arr)); return; }
  for (int i = l; i < arr.length; i++) {
    swap(arr, l, i);
    permutations(arr, l + 1);
    swap(arr, l, i);
  }
}",1,1,True,Inefficient
"public boolean wordSearch(char[][] board, String word) {
  for (int i = 0; i < board.length; i++)
    for (int j = 0; j < board[0].length; j++)
      if (dfs(board, i, j, word, 0)) return true;
  return false;
}",2,2,True,Moderate
"public int longestConsecutive(int[] nums) {
  Set set = new HashSet<>();
  for (int n : nums) set.add(n);
  int maxLen = 0;
  for (int n : set)
    if (!set.contains(n-1)) {
      int cur = n, len = 1;
      while (set.contains(cur+1)) { cur++; len++; }
      maxLen = Math.max(maxLen, len);
    }
  return maxLen;
}",2,2,False,Efficient
"public int minCoinsRecursive(int[] coins, int amount) {
  if (amount == 0) return 0;
  int res = Integer.MAX_VALUE;
  for (int c : coins)
    if (c <= amount) {
      int sub = minCoinsRecursive(coins, amount - c);
      if (sub != Integer.MAX_VALUE) res = Math.min(res, sub + 1);
    }
  return res;
}",1,1,True,Inefficient
"public int[][] transposeMatrix(int[][] mat) {
  int n = mat.length;
  int[][] result = new int[n][n];
  for (int i = 0; i < n; i++)
    for (int j = 0; j < n; j++)
      result[j][i] = mat[i][j];
  return result;
}",2,2,False,Moderate
"public int hammingWeight(int n) {
  int count = 0;
  while (n != 0) { n &= (n - 1); count++; }
  return count;
}",1,1,False,Efficient
"public int allPairsShortestPath(int[][] dist, int n) {
  for (int k = 0; k < n; k++)
    for (int i = 0; i < n; i++)
      for (int j = 0; j < n; j++)
        if (dist[i][k] + dist[k][j] < dist[i][j])
          dist[i][j] = dist[i][k] + dist[k][j];
  return dist[0][n-1];
}",3,3,False,Inefficient
"public int solve(int n) {
  return n * (n + 1) / 2;
}",0,0,False,Efficient
